unitNumber,MotherboardBrand,MotherboardModel,CPUModel,CPUCores,CPUSpeedGHz,MemorySizeGB,MemoryType,StorageSizeGB,StorageType,GPUModel,PSUWattage
0,ASUS,ROG STRIX B550-F,Ryzen 5 5600X,6,3.7,16,DDR4,1000,SSD,RTX 3060,650
1,MSI,MAG B660M Mortar,Intel i5-12400,6,2.5,16,DDR4,512,NVMe,RTX 3050,600
2,Gigabyte,Z790 AORUS Elite,Intel i7-13700K,16,3.4,32,DDR5,2000,SSD,RTX 4070,750
3,ASRock,B450M Steel Legend,Ryzen 3 3100,4,3.6,8,DDR4,500,HDD,GTX 1650,500
4,ASUS,Prime X670-P,Ryzen 9 7900X,12,4.7,64,DDR5,2000,NVMe,RTX 4090,1000
5,MSI,B550 Tomahawk,Ryzen 7 5800X,8,3.8,32,DDR4,1000,SSD,RX 6700 XT,750
6,Gigabyte,H610M H,Intel i3-12100,4,3.3,8,DDR4,256,SSD,Integrated,450
7,ASRock,Z690 Extreme,Intel i9-12900K,16,3.2,64,DDR5,4000,NVMe,RTX 4080,1000
8,Biostar,B450MH,Ryzen 5 3600,6,3.6,16,DDR4,1000,HDD,GTX 1660,550
9,ASUS,TUF Gaming B760M,Intel i5-13400,10,2.5,32,DDR5,1000,SSD,RTX 3060 Ti,650
10,MSI,PRO Z790-A,Intel i7-14700K,20,3.4,32,DDR5,2000,NVMe,RTX 4070,850
